order_id,order_line,order_date,customer_id,product_id,bikeshop_id,quantity,model,category1,category2,frame,price,FirstName,LastName,BirthDate,MaritalStatus,Gender,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,bikeshop_name,bikeshop_city,bikeshop_state,latitude,longitude,ventes
1,1,2011-01-07,2,48,7,1,Jekyll Carbon 2,Mountain,Over Mountain,Carbon,6070, Alice, Smith,1988-12-02, Married, Female,60000,2, Master's, Doctor, No,Nashville Cruisers,Nashville,TN,36.162664,-86.781602,6070
1,2,2011-01-07,2,52,26,1,Trigger Carbon 2,Mountain,Over Mountain,Carbon,5970, Alice, Smith,1988-12-02, Married, Female,60000,2, Master's, Doctor, No,Miami Race Equipment,Miami,FL,25.76168,-80.19179,5970
2,1,2011-01-10,10,76,17,1,Beast of the East 1,Mountain,Trail,Aluminum,2770, Fiona, Teal,1989-09-12, Single, Female,46000,1, Associate's, Engineer, Yes,Las Vegas Cycles,Las Vegas,NV,36.169941,-115.13983,2770
2,2,2011-01-10,10,52,1,1,Trigger Carbon 2,Mountain,Over Mountain,Carbon,5970, Fiona, Teal,1989-09-12, Single, Female,46000,1, Associate's, Engineer, Yes,Pittsburgh Mountain Machines,Pittsburgh,PA,40.440625,-79.995886,5970
3,1,2011-01-10,6,2,7,1,Supersix Evo Hi-Mod Team,Road,Elite Road,Carbon,10660, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Nashville Cruisers,Nashville,TN,36.162664,-86.781602,10660
3,2,2011-01-10,6,50,2,1,Jekyll Carbon 4,Mountain,Over Mountain,Carbon,3200, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Ithaca Mountain Climbers,Ithaca,NY,42.443961,-76.501881,3200
3,3,2011-01-10,6,1,12,1,Supersix Evo Black Inc.,Road,Elite Road,Carbon,12790, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Dallas Cycles,Dallas,TX,32.776664,-96.796988,12790
3,4,2011-01-10,6,4,19,1,Supersix Evo Hi-Mod Dura Ace 2,Road,Elite Road,Carbon,5330, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,San Francisco Cruisers,San Francisco,CA,37.774929,-122.419416,5330
3,5,2011-01-10,6,34,4,1,Synapse Disc 105,Road,Endurance Road,Aluminum,1570, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Detroit Cycles,Detroit,MI,42.331427,-83.045754,1570
4,1,2011-01-11,22,26,14,1,Synapse Carbon Disc Ultegra D12,Road,Endurance Road,Carbon,4800, Rachel, Gold,1987-06-07, Single, Female,55000,1, Bachelor's, Therapist, Yes,Albuquerque Cycles,Albuquerque,NM,35.085334,-106.605553,4800
5,1,2011-01-11,8,96,14,1,Catalyst 3,Mountain,Sport,Aluminum,480, Donna, Red,1980-08-05, Married, Female,68000,3, Bachelor's, Manager, Yes,Albuquerque Cycles,Albuquerque,NM,35.085334,-106.605553,480
5,2,2011-01-11,8,66,27,2,F-Si Black Inc.,Mountain,Cross Country Race,Carbon,11190, Donna, Red,1980-08-05, Married, Female,68000,3, Bachelor's, Manager, Yes,San Antonio Bike Shop,San Antonio,TX,29.424122,-98.493628,22380
5,3,2011-01-11,8,35,12,1,Synapse Disc Tiagra,Road,Endurance Road,Aluminum,1250, Donna, Red,1980-08-05, Married, Female,68000,3, Bachelor's, Manager, Yes,Dallas Cycles,Dallas,TX,32.776664,-96.796988,1250
5,4,2011-01-11,8,72,13,1,F-Si 2,Mountain,Cross Country Race,Aluminum,2060, Donna, Red,1980-08-05, Married, Female,68000,3, Bachelor's, Manager, Yes,Oklahoma City Race Equipment,Oklahoma City,OK,35.46756,-97.516428,2060
6,1,2011-01-11,16,45,5,1,SuperX 105,Road,Cyclocross,Carbon,1960, Laura, Magenta,1988-05-09, Single, Female,39000,0, Bachelor's, Artist, Yes,Cincinnati Speed,Cincinnati,OH,39.103118,-84.51202,1960
